Type Ligne,Identifiant de l'élément,Structure,Type de l'élément,Statut de l'élément,Nom base français,Nom base anglais,Nom base espagnol,Nom attribut français,Nom attribut anglais,Nom attribut espagnol,Nom frontière français,Nom frontière anglais,Nom frontière espagnol,Code de la catégorie,Tags français,Tags anglais,Tags espagnol,Unité français,Unité anglais,Unité espagnol,Contributeur,Autres Contributeurs,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Sous-localisation géographique anglais,Sous-localisation géographique espagnol,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Commentaire espagnol,Type poste,Nom poste français,Nom poste anglais,Nom poste espagnol,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Code gaz supplémentaire 3,Valeur gaz supplémentaire 3,Code gaz supplémentaire 4,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Poste,12895,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Agglomérés de houille,Concentrated coal,,,,,,,,Combustibles > Fossiles > Solides > Charbons,,,,kgCO2e/GJ PCI,kgCO2e/GJ ICV,,ADEME,,,,,France continentale,,,,17/10/2014,17/10/2014,Dec-17,20,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,Combustion,,,,95.8,95,0.03,0,0.795,,,,,,,,,,,0,0
Poste,12896,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Agglomérés de houille,Concentrated coal,,,,,,,,Combustibles > Fossiles > Solides > Charbons,,,,kgCO2e/kg,kgCO2e/kg,,ADEME,,,,,France continentale,,,,17/10/2014,17/10/2014,Dec-17,20,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,Combustion,,,,3.07,3.04,9.60E-04,0,0.0254,,,,,,,,,,,0,0
Poste,12897,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Agglomérés de houille,Concentrated coal,,,,,,,,Combustibles > Fossiles > Solides > Charbons,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,France continentale,,,,17/10/2014,17/10/2014,Dec-17,20,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,0.345,0.342,1.08E-04,0,2.86E-03,,,,,,,,,,,0,0
Poste,12898,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Agglomérés de houille,Concentrated coal,,,,,,,,Combustibles > Fossiles > Solides > Charbons,,,,kgCO2e/tep PCI,kgCO2e/toe ICV,,ADEME,,,,,France continentale,,,,17/10/2014,17/10/2014,Dec-17,20,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,4025,3990,1.26,0,33.4,,,,,,,,,,,0,0
Poste,12899,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Anthracite,Anthracite,,,,,,,,Combustibles > Fossiles > Solides > Charbons,,,,kgCO2e/GJ PCI,kgCO2e/GJ ICV,,ADEME,,,,,France continentale,,,,17/10/2014,17/10/2014,Dec-17,20,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,98.7,98.3,0.03,0,0.398,,,,,,,,,,,0,0
Poste,12900,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Anthracite,Anthracite,,,,,,,,Combustibles > Fossiles > Solides > Charbons,,,,kgCO2e/kg,kgCO2e/kg,,ADEME,,,,,France continentale,,,,17/10/2014,17/10/2014,Dec-17,20,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,2.63,2.62,8.01E-04,0,0.0106,,,,,,,,,,,0,0
Poste,12902,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Anthracite,Anthracite,,,,,,,,Combustibles > Fossiles > Solides > Charbons,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,France continentale,,,,17/10/2014,23/07/2015,déc.-18,20,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,0.356,0.354,1.08E-04,0,1.43E-03,,,,,,,,,,,0,0
Poste,12904,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Anthracite,Anthracite,,,,,,,,Combustibles > Fossiles > Solides > Charbons,,,,kgCO2e/tep PCI,kgCO2e/toe ICV,,ADEME,,,,,France continentale,,,,17/10/2014,17/10/2014,Dec-17,20,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,4147,4130,0,0,16.7,,,,,,,,,,,0,0
Poste,14112,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Autres produits pétroliers,Other petroleum products,,,,,,,,Combustibles > Fossiles > Liquides > Usages spéciaux,,,,kgCO2e/GJ PCI,kgCO2e/GJ ICV,,ADEME,,,,,France continentale,,,,20/10/2014,20/10/2014,Dec-17,20,"DonnÃ©es de l'article L229-25 de la loi TECV, DonnÃ©es de l'EU Emissions Trading System (EU ETS)",,,,,,,,,,,,Combustion,,,,73.8,73,0.09,0,0.663,,,,,,,,,,,0,0
Poste,14113,élément décomposé par poste et par gaz,Facteur d'émission,Valide générique,Autres produits pétroliers,Other petroleum products,,,,,,,,Combustibles > Fossiles > Liquides > Usages spéciaux,,,,kgCO2e/kWh PCI,kgCO2e/kWh ICV,,ADEME,,,,,France continentale,,,,20/10/2014,20/10/2014,Dec-17,20,DonnÃ©es de l'article L229-25 de la loi TECV,,,,,,,,,,,,Combustion,,,,0.266,0.263,3.24E-04,0,2.39E-03,,,,,,,,,,,0,0
